temperature,min_p,max_p,correct,parsed_answer
0.2,0.0,0.8,1,580
0.2,0.0,0.85,1,580
0.2,0.0,0.9,1,580
0.2,0.0,0.95,1,580
0.2,0.05,0.8,1,580
0.2,0.05,0.85,0,486
0.2,0.05,0.9,1,580
0.2,0.05,0.95,0,296
0.2,0.1,0.8,1,580
0.2,0.1,0.85,1,580
0.2,0.1,0.9,1,580
0.2,0.1,0.95,1,580
0.2,0.15,0.8,1,580
0.2,0.15,0.85,0,548
0.2,0.15,0.9,1,580
0.2,0.15,0.95,1,580
0.4,0.0,0.8,0,396
0.4,0.0,0.85,1,580
0.4,0.0,0.9,1,580
0.4,0.0,0.95,1,580
0.4,0.05,0.8,1,580
0.4,0.05,0.85,1,580
0.4,0.05,0.9,1,580
0.4,0.05,0.95,1,580
0.4,0.1,0.8,1,580
0.4,0.1,0.85,1,580
0.4,0.1,0.9,1,580
0.4,0.1,0.95,1,580
0.4,0.15,0.8,1,580
0.4,0.15,0.85,1,580
0.4,0.15,0.9,1,580
0.4,0.15,0.95,1,580
0.6,0.0,0.8,1,580
0.6,0.0,0.85,1,580
0.6,0.0,0.9,0,296
0.6,0.0,0.95,1,580
0.6,0.05,0.8,1,580
0.6,0.05,0.85,1,580
0.6,0.05,0.9,1,580
0.6,0.05,0.95,1,580
0.6,0.1,0.8,1,580
0.6,0.1,0.85,1,580
0.6,0.1,0.9,1,580
0.6,0.1,0.95,1,580
0.6,0.15,0.8,0,458
0.6,0.15,0.85,1,580
0.6,0.15,0.9,1,580
0.6,0.15,0.95,1,580
0.8,0.0,0.8,1,580
0.8,0.0,0.85,1,580
0.8,0.0,0.9,1,580
0.8,0.0,0.95,1,580
0.8,0.05,0.8,1,580
0.8,0.05,0.85,1,580
0.8,0.05,0.9,1,580
0.8,0.05,0.95,1,580
0.8,0.1,0.8,1,580
0.8,0.1,0.85,1,580
0.8,0.1,0.9,1,580
0.8,0.1,0.95,1,580
0.8,0.15,0.8,1,580
0.8,0.15,0.85,1,580
0.8,0.15,0.9,1,580
0.8,0.15,0.95,1,580
