temperature,min_p,max_p,correct,parsed_answer
0.2,0.0,0.8,0,2688.0
0.2,0.0,0.85,1,336.0
0.2,0.0,0.9,1,336.0
0.2,0.0,0.95,1,336.0
0.2,0.0,1.0,1,336.0
0.2,0.05,0.8,1,336.0
0.2,0.05,0.85,1,336.0
0.2,0.05,0.9,1,336.0
0.2,0.05,0.95,1,336.0
0.2,0.05,1.0,1,336.0
0.2,0.1,0.8,1,336.0
0.2,0.1,0.85,1,336.0
0.2,0.1,0.9,1,336.0
0.2,0.1,0.95,1,336.0
0.2,0.1,1.0,1,336.0
0.2,0.15,0.8,1,336.0
0.2,0.15,0.85,1,336.0
0.2,0.15,0.9,0,2688.0
0.2,0.15,0.95,1,336.0
0.2,0.15,1.0,1,336.0
0.2,0.2,0.8,1,336.0
0.2,0.2,0.85,1,336.0
0.2,0.2,0.9,1,336.0
0.2,0.2,0.95,1,336.0
0.2,0.2,1.0,1,336.0
0.4,0.0,0.8,1,336.0
0.4,0.0,0.85,1,336.0
0.4,0.0,0.9,1,336.0
0.4,0.0,0.95,1,336.0
0.4,0.0,1.0,1,336.0
0.4,0.05,0.8,1,336.0
0.4,0.05,0.85,1,336.0
0.4,0.05,0.9,1,336.0
0.4,0.05,0.95,1,336.0
0.4,0.05,1.0,1,336.0
0.4,0.1,0.8,1,336.0
0.4,0.1,0.85,1,336.0
0.4,0.1,0.9,1,336.0
0.4,0.1,0.95,1,336.0
0.4,0.1,1.0,1,336.0
0.4,0.15,0.8,1,336.0
0.4,0.15,0.85,1,336.0
0.4,0.15,0.9,1,336.0
0.4,0.15,0.95,1,336.0
0.4,0.15,1.0,1,336.0
0.4,0.2,0.8,1,336.0
0.4,0.2,0.85,1,336.0
0.4,0.2,0.9,1,336.0
0.4,0.2,0.95,1,336.0
0.4,0.2,1.0,1,336.0
0.6,0.0,0.8,1,336.0
0.6,0.0,0.85,1,336.0
0.6,0.0,0.9,1,336.0
0.6,0.0,0.95,1,336.0
0.6,0.0,1.0,1,336.0
0.6,0.05,0.8,1,336.0
0.6,0.05,0.85,1,336.0
0.6,0.05,0.9,1,336.0
0.6,0.05,0.95,1,336.0
0.6,0.05,1.0,1,336.0
0.6,0.1,0.8,1,336.0
0.6,0.1,0.85,1,336.0
0.6,0.1,0.9,1,336.0
0.6,0.1,0.95,1,336.0
0.6,0.1,1.0,1,336.0
0.6,0.15,0.8,1,336.0
0.6,0.15,0.85,1,336.0
0.6,0.15,0.9,1,336.0
0.6,0.15,0.95,1,336.0
0.6,0.15,1.0,1,336.0
0.6,0.2,0.8,1,336.0
0.6,0.2,0.85,1,336.0
0.6,0.2,0.9,1,336.0
0.6,0.2,0.95,1,336.0
0.6,0.2,1.0,1,336.0
0.8,0.0,0.8,1,336.0
0.8,0.0,0.85,1,336.0
0.8,0.0,0.9,1,336.0
0.8,0.0,0.95,1,336.0
0.8,0.0,1.0,1,336.0
0.8,0.05,0.8,1,336.0
0.8,0.05,0.85,1,336.0
0.8,0.05,0.9,1,336.0
0.8,0.05,0.95,1,336.0
0.8,0.05,1.0,1,336.0
0.8,0.1,0.8,1,336.0
0.8,0.1,0.85,1,336.0
0.8,0.1,0.9,1,336.0
0.8,0.1,0.95,1,336.0
0.8,0.1,1.0,1,336.0
0.8,0.15,0.8,0,
0.8,0.15,0.85,1,336.0
0.8,0.15,0.9,1,336.0
0.8,0.15,0.95,1,336.0
0.8,0.15,1.0,0,2688.0
0.8,0.2,0.8,1,336.0
0.8,0.2,0.85,1,336.0
0.8,0.2,0.9,1,336.0
0.8,0.2,0.95,1,336.0
0.8,0.2,1.0,1,336.0
1.0,0.0,0.8,1,336.0
1.0,0.0,0.85,1,336.0
1.0,0.0,0.9,0,2688.0
1.0,0.0,0.95,1,336.0
1.0,0.0,1.0,1,336.0
1.0,0.05,0.8,1,336.0
1.0,0.05,0.85,1,336.0
1.0,0.05,0.9,1,336.0
1.0,0.05,0.95,0,
1.0,0.05,1.0,1,336.0
1.0,0.1,0.8,1,336.0
1.0,0.1,0.85,0,66480.0
1.0,0.1,0.9,1,336.0
1.0,0.1,0.95,1,336.0
1.0,0.1,1.0,1,336.0
1.0,0.15,0.8,1,336.0
1.0,0.15,0.85,1,336.0
1.0,0.15,0.9,1,336.0
1.0,0.15,0.95,1,336.0
1.0,0.15,1.0,1,336.0
1.0,0.2,0.8,1,336.0
1.0,0.2,0.85,1,336.0
1.0,0.2,0.9,1,336.0
1.0,0.2,0.95,1,336.0
1.0,0.2,1.0,1,336.0
