temperature,min_p,max_p,correct,parsed_answer
0.2,0.0,0.8,0,
0.2,0.0,0.85,0,81901.0
0.2,0.0,0.9,0,
0.2,0.0,0.95,0,
0.2,0.05,0.8,0,41754.0
0.2,0.05,0.85,0,
0.2,0.05,0.9,0,98744.0
0.2,0.05,0.95,0,92071.0
0.2,0.1,0.8,0,
0.2,0.1,0.85,0,41754.0
0.2,0.1,0.9,0,
0.2,0.1,0.95,0,95046.0
0.2,0.15,0.8,0,
0.2,0.15,0.85,0,
0.2,0.15,0.9,0,45520.0
0.2,0.15,0.95,0,2049.0
0.4,0.0,0.8,1,8687.0
0.4,0.0,0.85,0,
0.4,0.0,0.9,0,23.0
0.4,0.0,0.95,0,
0.4,0.05,0.8,1,8687.0
0.4,0.05,0.85,0,42153.0
0.4,0.05,0.9,0,
0.4,0.05,0.95,1,8687.0
0.4,0.1,0.8,0,3686.0
0.4,0.1,0.85,0,41754.0
0.4,0.1,0.9,0,41754.0
0.4,0.1,0.95,0,
0.4,0.15,0.8,0,
0.4,0.15,0.85,0,
0.4,0.15,0.9,0,23.0
0.4,0.15,0.95,0,78784.0
0.6,0.0,0.8,0,
0.6,0.0,0.85,0,
0.6,0.0,0.9,0,23.0
0.6,0.0,0.95,0,
0.6,0.05,0.8,0,106.0
0.6,0.05,0.85,0,97866.0
0.6,0.05,0.9,0,
0.6,0.05,0.95,0,79.0
0.6,0.1,0.8,1,8687.0
0.6,0.1,0.85,0,
0.6,0.1,0.9,0,
0.6,0.1,0.95,0,16825.0
0.6,0.15,0.8,0,3685.0
0.6,0.15,0.85,0,46550.0
0.6,0.15,0.9,0,41754.0
0.6,0.15,0.95,0,1554.0
0.8,0.0,0.8,0,57280.0
0.8,0.0,0.85,0,
0.8,0.0,0.9,0,98449.0
0.8,0.0,0.95,0,32836.0
0.8,0.05,0.8,0,
0.8,0.05,0.85,0,
0.8,0.05,0.9,0,71004.0
0.8,0.05,0.95,0,
0.8,0.1,0.8,0,40958.0
0.8,0.1,0.85,0,6825.0
0.8,0.1,0.9,0,56909.0
0.8,0.1,0.95,0,41754.0
0.8,0.15,0.8,0,
0.8,0.15,0.85,0,41754.0
0.8,0.15,0.9,0,41754.0
0.8,0.15,0.95,0,57280.0
